address,price,area,furnishing
"5 BHK Independent House for Sale in Chandra Nagar, Krishna Nagar, New Delhi","1.90 Cr ","7037 per sqft ",U
"3 BHK Independent House for Sale in Vishwas Nagar, New Delhi","1.35 Cr ","16304 per sqft ",R
"2 BHK Independent House for Sale in Bindapur, New Delhi","65 Lac ","22109 per sqft ",R
"5 BHK Independent House for Sale in Kalkaji, New Delhi","9.50 Cr ","52778 per sqft ",R
" House for Sale in Ashok Vihar, New Delhi","40 Cr ","68376 per sqft ",F
"2 BHK Independent House for Sale in Krishna Nagar, Saijpur Bogha, Ahmedabad","35 Lac ","3889 per sqft ",R
"5 BHK Independent House for Sale in Asmita, Thaltej, Ahmedabad","3.50 Cr ","12963 per sqft ",F
"4 BHK Independent House for Sale in Bhadaj, Ahmedabad","3.75 Cr ","13228 per sqft ",U
"3 BHK Independent House for Sale in Sanand, Ahmedabad","75 Lac ","5000 per sqft ",R
"5 BHK Independent House for Sale in Kankaria, Ahmedabad","2 Cr ","12346 per sqft ",R
"4 BHK Independent House for Sale in Manekbaug Society, Ambawadi, Ahmedabad","45 Lac ","2165 per sqft ",R
"5 BHK Independent House for Sale in GokulDham, 132 Feet Ring Road, Ahmedabad","5.75 Cr ","10305 per sqft ",U
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","3.95 Cr ","11862 per sqft ",R
"4 BHK Independent House for Sale in Sanathal, Ahmedabad","6.25 Cr ","15432 per sqft ",S
"4 BHK Independent House for Sale in Shantipura Circle, Ahmedabad","2.35 Cr ","5934 per sqft ",U
"5 BHK Independent House for Sale in Nasmed, Ahmedabad","6.26 Cr ","11422 per sqft ",U
"2 BHK Independent House for Sale in Kalupur, Ahmedabad","50 Lac ","5787 per sqft ",U
"4 BHK Independent House for Sale in Science City, Ahmedabad","3.50 Cr ","12346 per sqft ",U
"1 BHK Independent House for Sale in Saroda, Ahmedabad","1.02 Cr ","9140 per sqft ",N
"3 BHK Independent House for Sale in Vastral, Ahmedabad","1.15 Cr ","9623 per sqft ",U
"2 BHK Independent House for Sale in Ranip, Ahmedabad","46 Lac ","5750 per sqft ",R
"4 BHK Independent House for Sale in Ghatlodiya, Ahmedabad","2.75 Cr ","12731 per sqft ",R
"3 BHK Independent House for Sale in Vastral, Ahmedabad","1.51 Cr ","9856 per sqft ",R
"1 BHK Independent House for Sale in Maninagar, Ahmedabad","85 Lac ","6800 per sqft ",R
"2 BHK Independent House for Sale in Bavla, Ahmedabad","80 Lac ","5556 per sqft ",R
"4 BHK Independent House for Sale in Sterling City, Bopal, Ahmedabad","2.11 Cr ","10657 per sqft ",F
"6 BHK Independent House for Sale in Shahibuag, Ahmedabad","5.25 Cr ","11667 per sqft ",F
"3 BHK Independent House for Sale in Jodhpur Cross Road, Ahmedabad","70 Lac ","5833 per sqft ",R
"4 BHK Independent House for Sale in North Bopal Road, Ahmedabad","1.20 Cr ","4040 per sqft ",N
"2 BHK Independent House for Sale in India Colony, Bapunagar, Ahmedabad","40 Lac ","6061 per sqft ",R
"5 BHK Independent House for Sale in Shahibuag, Ahmedabad","5 Cr ","17241 per sqft ",F
"7 BHK Independent House for Sale in Jyoti Nagar West, New Delhi","2.80 Cr ","31111 per sqft ",R
"4 BHK Independent House for Sale in Rohini Sector 16, New Delhi","1.30 Cr ","25160 per sqft ",R
"3 BHK Independent House for Sale in Himigiri Enclave, Mukundpur, New Delhi","60 Lac ","60000 per sqft ",R
"2 BHK Independent House for Sale in Shyam Vihar 1, Najafgarh, New Delhi","80 Lac ","5926 per sqft ",S
"4 BHK Independent House for Sale in Rohini Sector 16, New Delhi","1.30 Cr ","25160 per sqft ",R
"3 BHK Independent House for Sale in Yamuna Vihar, New Delhi","2.50 Cr ","12500 per sqft ",S
"6 BHK Independent House for Sale in Vasant Kunj, New Delhi","10 Cr ","28571 per sqft ",S
"6 BHK Independent House for Sale in Gokalpuri, New Delhi","80 Lac ","5000 per sqft ",R
"6 BHK Independent House for Sale in Greater Kailash 2, New Delhi","22 Cr ","61111 per sqft ",N
"5 BHK Independent House for Sale in Greater Kailash 1, New Delhi","23 Cr ","71875 per sqft ",R
"2 BHK Independent House for Sale in Tri Nagar, New Delhi","1.35 Cr ","21429 per sqft ",R
"4 BHK Independent House for Sale in Duggal Colony, New Delhi","3.50 Cr ","25926 per sqft ",R
"> 10 BHK Independent House for Sale in Rohini Sector 21, New Delhi","5.50 Cr ","14278 per sqft ",S
"4 BHK Independent House for Sale in Greater Kailash 2, New Delhi","58 Cr ","96667 per sqft ",S
"3 BHK Independent House for Sale in Khanpur, Madangir, New Delhi","40 Lac ","4233 per sqft ",S
"5 BHK Independent House for Sale in Jasola Vihar, New Delhi","10.25 Cr ","33497 per sqft ",N
"2 BHK Independent House for Sale in Baba Colony, Burari, New Delhi","65 Lac ","14444 per sqft ",R
"5 BHK Independent House for Sale in Vasant Vihar, New Delhi","35 Cr ","93708 per sqft ",U
